Apollo;Pierre Laroque;Semard;André Malraux;Marie Durand;Saint-Jean;Colverts;Paul Painlevé;Saint-Michel;Place de l'Europe;Vieille Poste;François Couperin;Pinville;Alfred Nobel;Eurêka;Louis Lépine;Volta Fizeau;Guglielmo Marconi;Évariste Galois;Samuel Morse;Place de France;Georges Méliès;Zénith;Albert Einstein;Cimetière Saint-Étienne;Grammont
8:58;8:59;9:00;9:01;9:01;9:02;9:03;9:04;9:06;9:10;9:13;9:14;9:15;9:17;9:18;9:20;9:20;9:22;9:23;9:26;9:26;9:27;9:30;9:31;9:32;9:33
9:13;9:14;9:15;9:16;9:16;9:17;9:18;9:19;9:21;9:25;9:28;9:29;9:30;9:32;9:33;9:35;9:35;9:37;9:38;9:41;9:41;9:42;9:45;9:46;9:47;9:48
9:28;9:29;9:30;9:31;9:31;9:32;9:33;9:34;9:36;9:40;9:43;9:44;9:45;9:47;9:48;9:50;9:50;9:52;9:53;9:56;9:56;9:57;10:00;10:01;10:02;10:03
9:44;9:45;9:46;9:47;9:47;9:48;9:49;9:50;9:52;9:55;9:58;9:59;10:00;10:01;10:02;10:04;10:04;10:06;10:07;10:10;10:10;10:11;10:14;10:15;10:16;10:17
9:59;10:00;10:01;10:02;10:02;10:03;10:04;10:05;10:07;10:10;10:13;10:14;10:15;10:16;10:17;10:19;10:19;10:21;10:22;10:25;10:25;10:26;10:29;10:30;10:31;10:32
10:14;10:15;10:16;10:17;10:17;10:18;10:19;10:20;10:22;10:25;10:28;10:29;10:30;10:31;10:32;10:34;10:34;10:36;10:37;10:40;10:40;10:41;10:44;10:45;10:46;10:47
10:29;10:30;10:31;10:32;10:32;10:33;10:34;10:35;10:37;10:40;10:43;10:44;10:45;10:46;10:47;10:49;10:49;10:51;10:52;10:55;10:55;10:56;10:59;11:00;11:01;11:02
10:44;10:45;10:46;10:47;10:47;10:48;10:49;10:50;10:52;10:55;10:58;10:59;11:00;11:01;11:02;11:04;11:04;11:06;11:07;11:10;11:10;11:11;11:14;11:15;11:16;11:17
10:59;11:00;11:01;11:02;11:02;11:03;11:04;11:05;11:07;11:10;11:13;11:14;11:15;11:16;11:17;11:19;11:19;11:21;11:22;11:25;11:25;11:26;11:29;11:30;11:31;11:32
11:14;11:15;11:16;11:17;11:17;11:18;11:19;11:20;11:22;11:25;11:28;11:29;11:30;11:31;11:32;11:34;11:34;11:36;11:38;11:41;11:41;11:42;11:45;11:46;11:47;11:48
11:29;11:30;11:31;11:32;11:32;11:33;11:34;11:35;11:37;11:40;11:43;11:44;11:45;11:46;11:47;11:49;11:49;11:51;11:53;11:56;11:56;11:57;12:00;12:01;12:02;12:03
11:44;11:45;11:46;11:47;11:47;11:48;11:49;11:50;11:52;11:55;11:58;11:59;12:00;12:01;12:02;12:04;12:04;12:06;12:08;12:11;12:11;12:12;12:15;12:16;12:17;12:18
11:59;12:00;12:01;12:02;12:02;12:03;12:04;12:05;12:07;12:10;12:13;12:14;12:15;12:16;12:17;12:19;12:19;12:21;12:23;12:26;12:26;12:27;12:30;12:31;12:32;12:33
12:14;12:15;12:16;12:17;12:17;12:18;12:19;12:20;12:22;12:25;12:28;12:29;12:30;12:31;12:32;12:34;12:34;12:36;12:38;12:41;12:41;12:42;12:45;12:46;12:47;12:48
12:29;12:30;12:31;12:32;12:32;12:33;12:34;12:35;12:37;12:40;12:43;12:44;12:45;12:46;12:47;12:49;12:49;12:51;12:53;12:56;12:56;12:57;13:00;13:01;13:02;13:03
12:44;12:45;12:46;12:47;12:47;12:48;12:49;12:50;12:52;12:55;12:58;12:59;13:00;13:01;13:02;13:04;13:04;13:06;13:07;13:10;13:10;13:11;13:14;13:15;13:16;13:17
12:59;13:00;13:01;13:02;13:02;13:03;13:04;13:05;13:07;13:10;13:13;13:14;13:15;13:16;13:17;13:19;13:19;13:21;13:22;13:25;13:25;13:26;13:29;13:30;13:31;13:32
13:14;13:15;13:16;13:17;13:17;13:18;13:19;13:20;13:22;13:25;13:28;13:29;13:30;13:31;13:32;13:34;13:34;13:36;13:37;13:40;13:40;13:41;13:44;13:45;13:46;13:47
13:29;13:30;13:31;13:32;13:32;13:33;13:34;13:35;13:37;13:40;13:43;13:44;13:45;13:46;13:47;13:49;13:49;13:51;13:52;13:55;13:55;13:56;13:59;14:00;14:01;14:02
13:44;13:45;13:46;13:47;13:47;13:48;13:49;13:50;13:52;13:55;13:58;13:59;14:00;14:01;14:02;14:04;14:04;14:06;14:07;14:10;14:10;14:11;14:14;14:15;14:16;14:17
13:59;14:00;14:01;14:02;14:02;14:03;14:04;14:05;14:07;14:10;14:13;14:14;14:15;14:16;14:17;14:19;14:19;14:21;14:22;14:25;14:25;14:26;14:29;14:30;14:31;14:32
14:14;14:15;14:16;14:17;14:17;14:18;14:19;14:20;14:22;14:25;14:28;14:29;14:30;14:31;14:32;14:34;14:34;14:36;14:37;14:40;14:40;14:41;14:44;14:45;14:46;14:47
14:29;14:30;14:31;14:32;14:32;14:33;14:34;14:35;14:37;14:40;14:43;14:44;14:45;14:46;14:47;14:49;14:49;14:51;14:52;14:55;14:55;14:56;14:59;15:00;15:01;15:02
14:44;14:45;14:46;14:47;14:47;14:48;14:49;14:50;14:52;14:55;14:58;14:59;15:00;15:01;15:02;15:04;15:04;15:06;15:07;15:10;15:10;15:11;15:15;15:16;15:17;15:18
14:59;15:00;15:01;15:02;15:02;15:03;15:04;15:05;15:07;15:10;15:13;15:14;15:15;15:16;15:17;15:19;15:19;15:21;15:22;15:25;15:25;15:26;15:30;15:31;15:32;15:33
15:14;15:15;15:16;15:17;15:17;15:18;15:19;15:20;15:22;15:25;15:28;15:29;15:30;15:31;15:32;15:34;15:34;15:36;15:37;15:40;15:40;15:41;15:45;15:46;15:47;15:48
15:29;15:30;15:31;15:32;15:32;15:33;15:34;15:35;15:37;15:40;15:43;15:44;15:45;15:46;15:47;15:49;15:49;15:51;15:52;15:55;15:55;15:56;16:00;16:01;16:02;16:03
15:44;15:45;15:46;15:47;15:47;15:48;15:49;15:50;15:52;15:55;15:58;15:59;16:00;16:01;16:02;16:04;16:04;16:06;16:07;16:10;16:10;16:11;16:15;16:16;16:17;16:18
15:59;16:00;16:01;16:02;16:02;16:03;16:04;16:05;16:07;16:10;16:13;16:14;16:15;16:16;16:17;16:19;16:19;16:21;16:22;16:25;16:25;16:27;16:30;16:32;16:33;16:34
16:14;16:15;16:16;16:17;16:17;16:18;16:19;16:20;16:22;16:25;16:28;16:29;16:30;16:31;16:32;16:34;16:34;16:36;16:37;16:40;16:40;16:42;16:45;16:47;16:48;16:49
16:29;16:30;16:31;16:32;16:32;16:33;16:34;16:35;16:37;16:40;16:43;16:44;16:45;16:46;16:47;16:49;16:49;16:51;16:53;16:56;16:56;16:58;17:01;17:03;17:04;17:05
16:44;16:45;16:46;16:47;16:47;16:48;16:49;16:50;16:52;16:55;16:58;16:59;17:00;17:02;17:03;17:05;17:05;17:07;17:09;17:12;17:12;17:14;17:17;17:19;17:20;17:21
16:59;17:00;17:01;17:02;17:02;17:03;17:04;17:05;17:07;17:10;17:13;17:14;17:15;17:17;17:18;17:20;17:21;17:23;17:25;17:28;17:28;17:30;17:33;17:35;17:36;17:37
17:14;17:15;17:16;17:17;17:17;17:18;17:19;17:20;17:22;17:25;17:28;17:29;17:30;17:32;17:33;17:35;17:36;17:38;17:40;17:43;17:43;17:45;17:48;17:50;17:51;17:52
17:29;17:30;17:31;17:32;17:32;17:33;17:34;17:35;17:37;17:40;17:43;17:44;17:45;17:47;17:48;17:50;17:51;17:53;17:55;17:58;17:58;18:00;18:03;18:05;18:06;18:07
17:44;17:45;17:46;17:47;17:47;17:48;17:49;17:50;17:52;17:55;17:58;17:59;18:00;18:02;18:03;18:05;18:06;18:08;18:10;18:13;18:13;18:15;18:18;18:20;18:21;18:22
17:59;18:00;18:01;18:02;18:02;18:03;18:04;18:05;18:07;18:10;18:13;18:14;18:15;18:17;18:18;18:20;18:21;18:23;18:25;18:28;18:28;18:30;18:33;18:35;18:36;18:37
18:14;18:15;18:16;18:17;18:17;18:18;18:19;18:20;18:22;18:25;18:28;18:29;18:30;18:32;18:33;18:35;18:36;18:38;18:40;18:43;18:43;18:45;18:48;18:50;18:51;18:52
18:29;18:30;18:31;18:32;18:32;18:33;18:34;18:35;18:37;18:40;18:43;18:44;18:45;18:46;18:47;18:49;18:50;18:52;18:54;18:57;18:57;18:58;19:02;19:03;19:04;19:05
18:44;18:45;18:46;18:47;18:47;18:48;18:49;18:50;18:52;18:55;18:57;18:58;18:59;19:00;19:01;19:03;19:03;19:05;19:07;19:10;19:10;19:11;19:15;19:16;19:17;19:18
18:59;19:00;19:01;19:02;19:02;19:03;19:04;19:05;19:07;19:10;19:12;19:13;19:14;19:15;19:16;19:18;19:18;19:20;19:21;19:24;19:24;19:25;19:28;19:29;19:30;19:31
19:14;19:15;19:16;19:17;19:17;19:18;19:19;19:20;19:22;19:25;19:27;19:28;19:29;19:30;19:31;19:33;19:33;19:35;19:36;19:39;19:39;19:40;19:43;19:44;19:45;19:46
19:29;19:30;19:31;19:32;19:32;19:33;19:34;19:35;19:37;19:40;19:42;19:43;19:44;19:45;19:46;19:48;19:48;19:50;19:51;19:53;19:53;19:54;19:56;19:57;19:58;19:59
19:49;19:50;19:51;19:52;19:52;19:53;19:54;19:55;19:57;20:00;20:02;20:03;20:04;20:05;20:05;20:07;20:07;20:09;20:10;20:12;20:12;20:13;20:15;20:16;20:17;20:18
20:15;20:16;20:17;20:18;20:18;20:19;20:19;20:20;20:22;20:25;20:27;20:28;20:29;20:30;20:30;20:32;20:32;20:33;20:34;20:36;20:36;;;;;
